#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 265.8 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "5"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_XXmm_SINGLE_LAYER"
 9.703783691E-02 9.143882990E-01 3.244261816E-02
 9.703625739E-02 9.143882990E-01 3.244261071E-02
 9.512521327E-02 9.143882990E-01 3.242900595E-02
 9.512364864E-02 9.143882990E-01 3.242899477E-02
 9.323026985E-02 9.143882990E-01 3.241014853E-02
 9.322872013E-02 9.143882990E-01 3.241013363E-02
 9.135193378E-02 9.143882990E-01 3.238511458E-02
 9.135039896E-02 9.143882990E-01 3.238509595E-02
 8.949127048E-02 9.143882990E-01 3.235484287E-02
 8.948975056E-02 9.143882990E-01 3.235481679E-02
 8.764822036E-02 9.143882990E-01 3.231832013E-02
 8.764671534E-02 9.143882990E-01 3.231829032E-02
 8.582284302E-02 9.143882990E-01 3.227655217E-02
 8.582135290E-02 9.143882990E-01 3.227651864E-02
 8.401414752E-02 9.143882990E-01 3.222960606E-02
 8.401267231E-02 9.143882990E-01 3.222956881E-02
 8.222405612E-02 9.143882990E-01 3.217635304E-02
 8.222259581E-02 9.143882990E-01 3.217630833E-02
 8.045057207E-02 9.143882990E-01 3.211692721E-02
 8.044912666E-02 9.143882990E-01 3.211687878E-02
 7.869576663E-02 9.143882990E-01 3.205217794E-02
 7.869433612E-02 9.143882990E-01 3.205212578E-02
 7.695864141E-02 9.143882990E-01 3.198218718E-02
 7.695722580E-02 9.143882990E-01 3.198213130E-02
 7.523919642E-02 9.143882990E-01 3.190695122E-02
 7.523778826E-02 9.143882990E-01 3.190689161E-02
 7.353741676E-02 9.143882990E-01 3.182647005E-02
 7.353602350E-02 9.143882990E-01 3.182640299E-02
 7.185424864E-02 9.143882990E-01 3.173967451E-02
 7.185287029E-02 9.143882990E-01 3.173960373E-02
 7.018876076E-02 9.143882990E-01 3.164763004E-02
 7.018739730E-02 9.143882990E-01 3.164755553E-02
 6.854193658E-02 9.143882990E-01 3.155027330E-02
 6.854058802E-02 9.143882990E-01 3.155019507E-02
 6.691280007E-02 9.143882990E-01 3.144766763E-02
 6.691146642E-02 9.143882990E-01 3.144758567E-02
 6.530233473E-02 9.143882990E-01 3.133974969E-02
 6.530101597E-02 9.143882990E-01 3.133966029E-02
 6.371054053E-02 9.143882990E-01 3.122651577E-02
 6.370923668E-02 9.143882990E-01 3.122642264E-02
 6.213642284E-02 9.143882990E-01 3.110803664E-02
 6.213513762E-02 9.143882990E-01 3.110793978E-02
 6.058098376E-02 9.143882990E-01 3.098423965E-02
 6.057971343E-02 9.143882990E-01 3.098413907E-02
 5.904421955E-02 9.143882990E-01 3.085512668E-02
 5.904296413E-02 9.143882990E-01 3.085502051E-02
 5.752712488E-02 9.143882990E-01 3.072062880E-02
 5.752588436E-02 9.143882990E-01 3.072051890E-02
 5.602771044E-02 9.143882990E-01 3.058088757E-02
 5.602648482E-02 9.143882990E-01 3.058077395E-02
 5.454704165E-02 9.143882990E-01 3.043682501E-02
 5.454583094E-02 9.143882990E-01 3.043670766E-02
 5.308497325E-02 9.143882990E-01 3.028645180E-02
 5.308377743E-02 9.143882990E-01 3.028632887E-02
 5.164264515E-02 9.143882990E-01 3.013168834E-02
 5.164146796E-02 9.143882990E-01 3.013156168E-02
 5.021806806E-02 9.143882990E-01 2.997267619E-02
 5.021690577E-02 9.143882990E-01 2.997254580E-02
 4.881415889E-02 9.143882990E-01 2.980821021E-02
 4.881301150E-02 9.143882990E-01 2.980807610E-02
 4.742792994E-02 9.143882990E-01 2.963849716E-02
 4.742679745E-02 9.143882990E-01 2.963835932E-02
 4.606137052E-02 9.143882990E-01 2.946340293E-02
 4.606025293E-02 9.143882990E-01 2.946325950E-02
 4.471355677E-02 9.143882990E-01 2.928398736E-02
 4.471245408E-02 9.143882990E-01 2.928384021E-02
 4.338548332E-02 9.143882990E-01 2.910018340E-02
 4.338439927E-02 9.143882990E-01 2.910003252E-02
 4.207608849E-02 9.143882990E-01 2.891106345E-02
 4.207501933E-02 9.143882990E-01 2.891090885E-02
 4.078643024E-02 9.143882990E-01 2.871755883E-02
 4.078537598E-02 9.143882990E-01 2.871740051E-02
 3.951644525E-02 9.143882990E-01 2.851866558E-02
 3.951540962E-02 9.143882990E-01 2.851850353E-02
 3.826620430E-02 9.143882990E-01 2.831538394E-02
 3.826518357E-02 9.143882990E-01 2.831521817E-02
